biomarker,mean_low_risk,mean_dyslexia_risk,cohens_d,label_correlation,importance_score,logistic_importance
sp_pause_ratio,0.05172916666666667,0.17816666666666664,31.74513710244408,0.9980459382869146,19.720199116090605,0.9129949310313036
rd_reading_time_seconds,21.4,33.4,4.960047996195952,0.9282544343432635,3.5759313527262817,0.7620026042380164
rd_omission_count,0.0,1.5,4.216040796766558,0.9045340337332909,3.1521619425267837,0.8690795032451084
rd_repetition_count,0.5,2.5,3.9749213828703582,0.8944271909999159,2.94986129090618,0.6904586159466628
rd_hesitation_count,1.0,3.95,3.571422077916175,0.8738104124933472,2.736710731425471,0.8144443989280898
rd_chars_per_second,0.5978134275202983,0.3808709177658736,-2.8872462285571423,-0.823711625123717,2.2376620288994484,0.5860988057189208
rd_pronunciation_errors,0.35,1.35,2.0834249064123576,0.7235746052924213,1.727949062330241,0.6282142545528596
rd_spelling_errors,0.5,1.5,1.9874606914351791,0.7071067811865475,1.6069515784023118,0.43877483688861857
hw_row_variation,0.017483560601249337,0.013330984860658646,-1.310763263358073,-0.5505610662335545,1.0887043882668777,0.27340667919537365
sp_zero_crossing_rate,0.02754281461238861,0.057377392426133156,1.2484184866579093,0.5319142114306075,1.0476927097602908,0.2862531106443407
sp_rms_energy,0.13078931346535683,0.12176104262471199,-0.8750168887073259,-0.4029446962123812,0.7581348764706485,0.23982288253766834
hw_col_variation,0.006849888735450805,0.006678535300306976,-0.6440914475502507,-0.3082923029985811,0.5224772243342158,0.042351448682109695
sp_spectral_centroid_hz,1666.5977269935652,1175.7366876660103,-0.4067984753112092,-0.20052512926532037,0.4101692836267984,0.2862671557798159
hw_stroke_density,0.004340461094398051,0.0041025914484635,-0.5027734624715514,-0.24524714395387906,0.4012958418948979,0.00510968943471825
hw_stroke_std,0.04241353068500757,0.041408125683665274,-0.41260316729362895,-0.20326903624245848,0.34405071475105087,0.05060399959296716
hw_edge_complexity,0.012586121959611774,0.012290846323594451,-0.20892327711011846,-0.10454466776404996,0.20062926523895214,0.11152477289087022
sp_duration_seconds,1.5,1.5,0.0,0.0,0.0,0.0
